,Unnamed: 0.1,Unnamed: 0,uid,text
89,89,89,VqlfNumk0cg--205,and get a list in English on Hindi.
90,90,90,VqlfNumk0cg--206,of standard phrases that can be sent in greeting telegrams anywhere in India.
91,91,91,VqlfNumk0cg--207,Discuss which of these you might use and when.
92,92,92,O8V8kz6JcFs--0,Page 112
93,93,93,O8V8kz6JcFs--1,Lesson 9
94,94,94,O8V8kz6JcFs--2,Desert animals
95,95,95,O8V8kz6JcFs--3,Before you read.
96,96,96,O8V8kz6JcFs--4,Can you name some desert areas in India and the world?
97,97,97,O8V8kz6JcFs--5,What do you think lives in such areas?
98,98,98,O8V8kz6JcFs--6,1
99,99,99,O8V8kz6JcFs--7,Deserts are the driest places on earth.
100,100,100,O8V8kz6JcFs--8,and sometimes go for months or even years without rain.
101,101,101,O8V8kz6JcFs--100,tidier coats in the summer to keep cool.
102,102,102,O8V8kz6JcFs--101,A thirsty camel can drink as much as 30 gallons of water.
103,103,103,O8V8kz6JcFs--102,That's about 500 full classes in just 10 minutes.
104,104,104,O8V8kz6JcFs--103," Normally however, it gets all the moisture it needs from desert plants."
105,105,105,O8V8kz6JcFs--104,and can survive for up to 10 months without drinking any water at all.
106,106,106,O8V8kz6JcFs--105,New word in the box of page 115.
107,107,107,O8V8kz6JcFs--106,Dodge.
108,108,108,O8V8kz6JcFs--107,means move quickly to avoid its enemy.
109,109,109,O8V8kz6JcFs--200,Look at these sentences. 1.
110,110,110,O8V8kz6JcFs--201,Animals cannot survive for long without water.
111,111,111,O8V8kz6JcFs--202,2
112,112,112,O8V8kz6JcFs--203,So desert animals have to find different ways of coping.
113,113,113,O8V8kz6JcFs--204," The first sentence say, what cannot happen or be done."
114,114,114,O8V8kz6JcFs--205," The second tells us what must, therefore be done."
115,115,115,O8V8kz6JcFs--206,what it is necessary to do.
116,116,116,O8V8kz6JcFs--207,Complete the sentences using can not and have to...
117,117,117,Y_7WiIi_uTk--0,6.6. Entitles and Titles. Science 1. This is the Lesson 3. Title 5 fiber from page 18 to 25. 5. Page 18. Page 18. Page 18. Page 18. Page 18.
118,118,118,NoVPRWXWUZE--0,1st busy day
119,119,119,NoVPRWXWUZE--1,history for class 6 entitled
120,120,120,NoVPRWXWUZE--2,All pasts 1
121,121,121,NoVPRWXWUZE--3,page number 79.
122,122,122,NoVPRWXWUZE--4," Chapter number eight, title."
123,123,123,NoVPRWXWUZE--5," vital villages, thriving towns."
124,124,124,NoVPRWXWUZE--7,Prabhakar at Blacksmiths shop.
125,125,125,NoVPRWXWUZE--8,Prabhakar sat watching the smiths at the local shop.
126,126,126,NoVPRWXWUZE--100,water
127,127,127,NoVPRWXWUZE--101,Carpenter and we were.
128,128,128,NoVPRWXWUZE--103,the earliest Tamil compositions.
129,129,129,NoVPRWXWUZE--104,some of the earliest works in Tamil.
130,130,130,NoVPRWXWUZE--105,known as Sangam literature.
131,131,131,NoVPRWXWUZE--106," were composed around 2,300 years ago."
132,132,132,NoVPRWXWUZE--107,You
133,133,133,NoVPRWXWUZE--200," This is a sculpture from Sachi, a site with stupas in Madhya Pradesh, showing the scene in a city."
134,134,134,NoVPRWXWUZE--202,You will learn more about Sanchi in Chapter 11.
135,135,135,NoVPRWXWUZE--203,Notice the way walls are shown.
136,136,136,NoVPRWXWUZE--204,Are the made of brick?
137,137,137,NoVPRWXWUZE--205,wood or stone.
138,138,138,NoVPRWXWUZE--206,Now look at the railings. Are they made of wood?
139,139,139,HCfwgoa7YPY--0,I'm so grateful for it.
140,140,140,H7sMDW2U3LQ--1,page 54.
141,141,141,H7sMDW2U3LQ--2,Beauty By
142,142,142,H7sMDW2U3LQ--3,E-Yeh Shure
143,143,143,H7sMDW2U3LQ--4,What is beauty?
144,144,144,H7sMDW2U3LQ--5,Try to describe what beauty is or list some of the things or persons you think are beautiful.
145,145,145,H7sMDW2U3LQ--6," Now, let us read a poem on beauty."
146,146,146,H7sMDW2U3LQ--7,Beauty is seen in the sunlight.
147,147,147,H7sMDW2U3LQ--8," the trees, the birds, corn growing and people working."
148,148,148,H7sMDW2U3LQ--9,or dancing for their harvest.
149,149,149,ByGP6VSsADs--1,page 121.
150,150,150,ByGP6VSsADs--2,What if?
151,151,151,ByGP6VSsADs--3,Are there times when your mind fills with fear? Have you ever thought?
152,152,152,ByGP6VSsADs--4,What if something dangerous happens to me or
153,153,153,ByGP6VSsADs--5,or the people around me.
154,154,154,ByGP6VSsADs--6,What if the world stops revolving around the sun?
155,155,155,ByGP6VSsADs--7,What?
156,156,156,ByGP6VSsADs--8," If the sun does not rise in the morning,"
157,157,157,ByGP6VSsADs--9,Here is a poem which talks about some more such what-ifs.
158,158,158,XVP5zcTXVtc--2,page number 67.
159,159,159,XVP5zcTXVtc--3,Chapter number seven.
160,160,160,XVP5zcTXVtc--4,title title.
161,161,161,XVP5zcTXVtc--5,Ashok
162,162,162,XVP5zcTXVtc--6," The Emperor, who gave up war."
163,163,163,XVP5zcTXVtc--8,Roshan's Rupees
164,164,164,XVP5zcTXVtc--9,Roshan clutched the crisp notes that her grandfather had given her on her birthday.
165,165,165,XVP5zcTXVtc--100,The area around Patliputra was under the direct control of the Emperor.
166,166,166,XVP5zcTXVtc--102," This meant that officials were appointed to collect taxes from farmers, herders"
167,167,167,XVP5zcTXVtc--103,craft persons and traders who lived in villages and towns in the area.
168,168,168,XVP5zcTXVtc--104,Officials
169,169,169,XVP5zcTXVtc--105,Also punished those who disobeyed the rulers orders.
170,170,170,XVP5zcTXVtc--106,Many of these officials were given salaries.
171,171,171,XVP5zcTXVtc--200,fought a war to conquer Kalinga
172,172,172,XVP5zcTXVtc--201,"However, he was so horrified"
173,173,173,XVP5zcTXVtc--202,when he saw the violence and bloodshed that he decided not to fight anymore wars.
174,174,174,XVP5zcTXVtc--203,He is the only king in the history of the world who gave up conquest after winning a war.
175,175,175,XVP5zcTXVtc--204,produce a tremendous amount of work that reconstruction measures are prone to
176,176,176,XVP5zcTXVtc--205,describing the Kaling War.
177,177,177,XVP5zcTXVtc--206,This is what Ashok declared in one of his inscriptions.
178,178,178,XVP5zcTXVtc--207," 9 years after becoming king, I conquered."
179,179,179,IpRLdrFqxKk--1,for class 6.
180,180,180,IpRLdrFqxKk--2,and titled
181,181,181,IpRLdrFqxKk--3,Science 1
182,182,182,IpRLdrFqxKk--4,This is the lesson 12
183,183,183,IpRLdrFqxKk--5," Title, Electricity and Circuits from page 116 to 124."
184,184,184,IpRLdrFqxKk--6,Page 116
185,185,185,IpRLdrFqxKk--7,Electricity and Circuits
186,186,186,IpRLdrFqxKk--8," We use electricity for many purposes to make our tasks easier. For example,"
187,187,187,IpRLdrFqxKk--9,We use electricity to operate pumps that lift water from wells or from ground level to the rooftop tank.
188,188,188,IpRLdrFqxKk--100,Keep the tip of your pencil on the wire near one terminal of the electric cell for the arrangement in figure 12.5A.
189,189,189,IpRLdrFqxKk--101,Move the pencil along the wire all the way to the bulb. Now
190,190,190,IpRLdrFqxKk--102," from the other terminal of the bulb, move along the other wire connected to the cell."
191,191,191,IpRLdrFqxKk--103,Repeat this exercise for all the other arrangements in Figure 12.5.
192,192,192,IpRLdrFqxKk--104,Did the bulb glow for the arrangements in which you could not move the pencil from one terminal to the other?
193,193,193,IpRLdrFqxKk--105,Page 119
194,194,194,IpRLdrFqxKk--106,12.3
195,195,195,IpRLdrFqxKk--107,an electric circuit.
196,196,196,IpRLdrFqxKk--200,paper and pencil lead.
197,197,197,IpRLdrFqxKk--201,1 by 1 bring the free ends of the wires of your tester in contact with two ends of the samples you have collected.
198,198,198,IpRLdrFqxKk--202,Figure 12.12b
199,199,199,IpRLdrFqxKk--203,Make sure that the two wires do not touch each other while you are doing so.
200,200,200,IpRLdrFqxKk--204,Does the bulb glow in each case?
201,201,201,IpRLdrFqxKk--205,Make a table in your notebook similar to table 12.1 and record your observations.
202,202,202,IpRLdrFqxKk--206," Table 12.1, Conductors and Insulators"
203,203,203,IpRLdrFqxKk--207,There are three columns given in this table. One is for object used in place of the switch. Second is for material it is made of. And the third one is for bulb glows yes or no.
204,204,204,IpRLdrFqxKk--300,as a hook.
205,205,205,IpRLdrFqxKk--301,Fix the wire between the nails after inserting it through the loop of the key. Connect one end of this wire to a bulb and a cell. Connect the other terminal of the cell to the key with the wire. e.
206,206,206,IpRLdrFqxKk--302,Ask your friend to move the loop along the straight wire without touching it. Glowing of the bird would indicate that the loop of the key has touched the wire.
207,207,207,IpRLdrFqxKk--303,three
208,208,208,IpRLdrFqxKk--304,Read and find out about Alessandro Volta who invented the electric cell.
209,209,209,IpRLdrFqxKk--305,You may also find out about Thomas Alva Edison who invented the electric bulb.
210,210,210,IpRLdrFqxKk--306,The chapter 12 of total 16 chapters of the book ends here.
211,211,211,VIowkXsLmYg--0,A Pact with the Sun
212,212,212,VIowkXsLmYg--2,a supplementary reader in English for Class 6.
213,213,213,VIowkXsLmYg--4,page number four
214,214,214,VIowkXsLmYg--5,Listen to.
215,215,215,VIowkXsLmYg--6,the friendly mongoose.
216,216,216,VIowkXsLmYg--8," A farmer, his wife and their small child lived in a village."
217,217,217,VIowkXsLmYg--9,There was also a baby mongos in the house.
218,218,218,Vbeiz94SyEI--1," for Class 6, Entitled"
219,219,219,Vbeiz94SyEI--2,All parts. One
220,220,220,Vbeiz94SyEI--3,Page Number 92
221,221,221,Vbeiz94SyEI--4,Chapter number 9.
222,222,222,Vbeiz94SyEI--5," Title, Traders, Kings and Pilgrims"
223,223,223,Vbeiz94SyEI--6,Jugginee at the market
224,224,224,Vbeiz94SyEI--7,Juggie-ne looked forward to the fare in the village.
225,225,225,Vbeiz94SyEI--8,She loved to see and touch the pots and pans of shiny steel.
226,226,226,Vbeiz94SyEI--9,bright plastic buckets
227,227,227,Vbeiz94SyEI--100," horses, elephants."
228,228,228,Vbeiz94SyEI--101,chariots and fine cloth.
229,229,229,Vbeiz94SyEI--102,around 200 years later.
230,230,230,Vbeiz94SyEI--103,a dynasty known as the Sathvahnas.
231,231,231,Vbeiz94SyEI--104,became powerful in Western India.
232,232,232,Vbeiz94SyEI--105,See map 7
233,233,233,Vbeiz94SyEI--106,The most important ruler of the Sath Vahanas was Gautamiputtra.
234,234,234,Vbeiz94SyEI--107,Shree saw the gurney.
235,235,235,Vbeiz94SyEI--200,China and later to Korea and Japan.
236,236,236,Vbeiz94SyEI--201,Buddhism also spread to Western and Southern India.
237,237,237,Vbeiz94SyEI--202,where dozens of caves were hollowed out of
238,238,238,Vbeiz94SyEI--203,Hills for monks to live in.
239,239,239,Vbeiz94SyEI--204," Some of these caves were made on the orders of kings and queens, others by merchants and farmers."
240,240,240,Vbeiz94SyEI--205," These were often located near passes through the western guards, roads."
241,241,241,Vbeiz94SyEI--206,connecting prosperous ports on the coast with cities in the Deccan ran through these passes.
242,242,242,Vbeiz94SyEI--207,traders
243,243,243,LjnS-cnPY0I--0,. History
244,244,244,LjnS-cnPY0I--1,for class 6. entitled
245,245,245,LjnS-cnPY0I--2,Our pasts
246,246,246,LjnS-cnPY0I--3,Page number one. Lesson
247,247,247,LjnS-cnPY0I--4,1. What? Where?
248,248,248,LjnS-cnPY0I--5,How? And when?
249,249,249,LjnS-cnPY0I--6,Rashida's Question
250,250,250,LjnS-cnPY0I--7,Rashida sat reading the newspaper. Suddenly.
251,251,251,LjnS-cnPY0I--8,her eyes fell on a small headline.
252,252,252,LjnS-cnPY0I--9,100 YEARS AGO
253,253,253,LjnS-cnPY0I--100,some men marched in armies.
254,254,254,LjnS-cnPY0I--101,conquering others lands.
255,255,255,LjnS-cnPY0I--102,Besides merchants traveled with caravans or ships. Carrying valuable goods.
256,256,256,LjnS-cnPY0I--103,From place to place.
257,257,257,LjnS-cnPY0I--104," and religious teachers walked from village to village, town to town, stopping to offer instruction and advice on the way."
258,258,258,LjnS-cnPY0I--105," Finally, some people."
259,259,259,LjnS-cnPY0I--106,perhaps travelled driven by a spirit of...
260,260,260,LjnS-cnPY0I--107,Adventure
261,261,261,LjnS-cnPY0I--200,paintings and sculpture. They also explore.
262,262,262,LjnS-cnPY0I--201," and excavate, which means..."
263,263,263,LjnS-cnPY0I--202,Dig under the surface of the earth.
264,264,264,LjnS-cnPY0I--204," to find tools, weapons,"
265,265,265,LjnS-cnPY0I--205,pots
266,266,266,LjnS-cnPY0I--206,pans ornaments
267,267,267,LjnS-cnPY0I--207,and coins.
268,268,268,PqLN4NQIi5w--0,music
269,269,269,PqLN4NQIi5w--1,page 39
270,270,270,PqLN4NQIi5w--2,the quarrel
271,271,271,PqLN4NQIi5w--3,It is common for brothers and sisters to quarrel.
272,272,272,PqLN4NQIi5w--4," Although, sometimes they may not even be able to say why they quarrel."
273,273,273,PqLN4NQIi5w--5,But how long do such quarrels last?
274,274,274,PqLN4NQIi5w--6,How do they end?
275,275,275,PqLN4NQIi5w--7,I quarreled with my brother. I don't know what about.
276,276,276,PqLN4NQIi5w--8,One thing led to another and somehow we fell out.
277,277,277,PqLN4NQIi5w--9,The start of it was slight.
278,278,278,Nn9spzBqmMs--0,page number 15
279,279,279,Nn9spzBqmMs--1,you
280,280,280,Nn9spzBqmMs--2,lesson 5
281,281,281,Nn9spzBqmMs--3,Tansen
282,282,282,Nn9spzBqmMs--4,Synopsis are the first part of the story.
283,283,283,Nn9spzBqmMs--5,Tansen was the only child of his parents.
284,284,284,Nn9spzBqmMs--6,naughty but talented.
285,285,285,Nn9spzBqmMs--7,He imitated the calls of birds and animals perfectly.
286,286,286,Nn9spzBqmMs--9,Once he tried to frighten a group of travelers by roaring like a tiger.
287,287,287,Nn9spzBqmMs--100," But the heat it gives off will not only set the lamps alight, it will also burn me to ashes."
288,288,288,Nn9spzBqmMs--102,page number 18
289,289,289,Nn9spzBqmMs--103,then he had an idea.
290,290,290,Nn9spzBqmMs--104," If someone sings, raga megh"
291,291,291,Nn9spzBqmMs--105,at the same time and sings it properly.
292,292,292,Nn9spzBqmMs--106,it will bring rain.
293,293,293,Nn9spzBqmMs--107," Perhaps our daughter, Saraswati"
294,294,294,YljNks2VsrY--0,Class 6
295,295,295,UbhONRGm-90--4,Lesson 10. A strange wrestling match.
296,296,296,UbhONRGm-90--8,Vijay Singh was a bit boastful at times.
297,297,297,UbhONRGm-90--100,Appearances can be deceptive.
298,298,298,UbhONRGm-90--103,The synopsis for this part of the story.
299,299,299,UbhONRGm-90--203,How did Vijay singh use the eggs?
300,300,300,UbhONRGm-90--207,Was he fair in his judgment?
301,301,301,LvN9Dxq2iLY--0,music page
302,302,302,BTqVQCBPUzg--0,music
303,303,303,LljUaUMMCdg--0,4.2
304,304,304,XXeKZUNLAk4--0,music
305,305,305,FyPkQyJWsjs--0,music
306,306,306,FyPkQyJWsjs--1,page number 28
307,307,307,FyPkQyJWsjs--2,Listen 8. A pact
308,308,308,FyPkQyJWsjs--3,with the sun.
309,309,309,FyPkQyJWsjs--4,the synopsis
310,310,310,FyPkQyJWsjs--5,for the first part.
311,311,311,FyPkQyJWsjs--6,Sayda's mother has not received proper medical treatment for her complaints.
312,312,312,FyPkQyJWsjs--7,She has denied healthy food.
313,313,313,FyPkQyJWsjs--8,sunshine and fresh air.
314,314,314,FyPkQyJWsjs--9,at last
315,315,315,FyPkQyJWsjs--100,Fancy staying back again.
316,316,316,FyPkQyJWsjs--101,They said in a single voice.
317,317,317,FyPkQyJWsjs--102,What will the people of the earth say about us?
318,318,318,FyPkQyJWsjs--103,that we of the heavens have turned lairs?
319,319,319,FyPkQyJWsjs--104,the Sun Relented.
320,320,320,FyPkQyJWsjs--105," Please, yourselves."
321,321,321,FyPkQyJWsjs--106," He said, mind your clothes, though the clouds are mucky."
322,322,322,C8xfqZNQd70--0,music
323,323,323,DG6Bx2bDqFM--0,music
324,324,324,DG6Bx2bDqFM--101,write to the tree authority of your city or state to declare burning of leaves as an offense.
325,325,325,DG6Bx2bDqFM--102,Chapter 16
326,326,326,DG6Bx2bDqFM--103,which is the last chapter of this book ends here.
327,327,327,Zc2bgIDZ-Ks--1,page number seven. lesson.
328,328,328,Zc2bgIDZ-Ks--2,3
329,329,329,Zc2bgIDZ-Ks--3,The shepherd's treasure. The synopsis
330,330,330,Zc2bgIDZ-Ks--4,for the first part of this story.
331,331,331,Zc2bgIDZ-Ks--5,A poor shepherd once lived in Iran.
332,332,332,Zc2bgIDZ-Ks--6," Though uneducated, he was very wise and helpful."
333,333,333,Zc2bgIDZ-Ks--7,The king decided to meet him in disguise. Now the story 
334,334,334,Zc2bgIDZ-Ks--8,in a village in Iran.
335,335,335,Zc2bgIDZ-Ks--9,Their ones lived a shepherd. He was very poor.
336,336,336,N7O_KBF1Qqc--0,promotional music
337,337,337,N7O_KBF1Qqc--1,page 56 lesson
338,338,338,N7O_KBF1Qqc--2,5
339,339,339,N7O_KBF1Qqc--3,a different kind of school. One.
340,340,340,N7O_KBF1Qqc--4,Do you know these words? If you don't...
341,341,341,N7O_KBF1Qqc--5,Find out their meanings.
342,342,342,N7O_KBF1Qqc--6,bandage
343,343,343,N7O_KBF1Qqc--7,crutch
344,344,344,N7O_KBF1Qqc--8,cripple
345,345,345,N7O_KBF1Qqc--9,honour
346,346,346,N7O_KBF1Qqc--100,Words in the box are?
347,347,347,N7O_KBF1Qqc--101,At play means playing.
348,348,348,N7O_KBF1Qqc--102,Hopeless
349,349,349,N7O_KBF1Qqc--103,means unfortunate or without hope.
350,350,350,N7O_KBF1Qqc--104,Lame day
351,351,351,N7O_KBF1Qqc--105,Day on which she acts as if...
352,352,352,N7O_KBF1Qqc--106,She was lame.
353,353,353,N7O_KBF1Qqc--107,misfortune
354,354,354,R5xjlITOxCY--0,Page
355,355,355,UbSkIyCl70A--0,Page Number
356,356,356,UbSkIyCl70A--1,52 Changes in agricul
357,357,357,UbSkIyCl70A--2,ture
358,358,358,UbSkIyCl70A--3,There were two major changes in agriculture around this time.
359,359,359,UbSkIyCl70A--4,One was the growing use of iron plough shares.
360,360,360,UbSkIyCl70A--5,this meant that heavy.
361,361,361,UbSkIyCl70A--6,clayy soil could be turned over better than with a wooden plow share so that more grain could be produced. Second Second
362,362,362,UbSkIyCl70A--7,People began transplanting paddy. This meant...
363,363,363,UbSkIyCl70A--8,that instead of scattering seed on the ground.
364,364,364,UbSkIyCl70A--9,from which plants would sprout.
365,365,365,UbSkIyCl70A--100,A Famous Buddhist Book
366,366,366,UbSkIyCl70A--101,which contains some of the speeches of the Buddha.
367,367,367,UbSkIyCl70A--102," These were written down about 2,300 years ago."
368,368,368,UbSkIyCl70A--103,ajata sattu and the vajis. Ajata sattu.
369,369,369,UbSkIyCl70A--104,wanted to attack the Virgis. He sent his minister named...
370,370,370,UbSkIyCl70A--105,Vasakara
371,371,371,UbSkIyCl70A--106,to the Buddha to get his advice on the matter.
372,372,372,UbSkIyCl70A--107,The Buddha asked
373,373,373,UbSkIyCl70A--200,In what ways are present-day elections different from the ways in which rulers were chosen in Jnupadas?
374,374,374,UbSkIyCl70A--201,Let's do!
375,375,375,UbSkIyCl70A--202,6
376,376,376,UbSkIyCl70A--203,were there any janapadas in your state
377,377,377,UbSkIyCl70A--204,"If yes, name them"
378,378,378,UbSkIyCl70A--205," If not, name the Janapadhas."
379,379,379,UbSkIyCl70A--206," that would have been the closest to your state. And mention, whether they were to the East, West,"
380,380,380,UbSkIyCl70A--207,north or south 8
381,381,381,A0Vios3F4H0_d,representing
382,382,382,A0Vios3F4H0_e1,"On behalf of the entire company, I would like to thank you for all your work."
383,383,383,A0Vios3F4H0_e2,"Unfortunately, George cannot be with us today so I am pleased to accept this award on his behalf."
384,384,384,A0Vios3F4H0_e3,"She wasn't able to be present, so I signed the letter in her behalf."
385,385,385,A0Vios3F4H0_w,behalf
386,386,386,AALbFZ16ms8_d,"seeming likely to be true, or able to be believed"
387,387,387,AALbFZ16ms8_e1,a plausible salesman.
388,388,388,AALbFZ16ms8_w,plausible
389,389,389,ABZhHI6228g_d,"If something that you want eludes you, you do not succeed in achieving it"
390,390,390,ABZhHI6228g_e1,The gold medal continues to elude her.
391,391,391,ABZhHI6228g_w,elude - 1
392,392,392,AHaC7ncPHjM_d,Including Many different types of people or things.
393,393,393,AHaC7ncPHjM_e1,Hyderabad is a culturally diverse city.
394,394,394,AHaC7ncPHjM_e2,Students from countries as diverse as Spain and Singapore use Cambridge textbooks.
395,395,395,AHaC7ncPHjM_e3,India has always been one of the most religiously diverse countries.
396,396,396,AHaC7ncPHjM_e4,The restaurant has a diverse menu that includes entrees from all over the world.
397,397,397,AHaC7ncPHjM_e5,Shops selling a diverse range of gifts.
398,398,398,AHaC7ncPHjM_w,diverse
399,399,399,AJbqUacnP-g_d,"very surprising, usually in a pleasing way, especially by being large in amount or size"
400,400,400,AJbqUacnP-g_e1,Stupendous news! We've won Rs. 5 Crore!
401,401,401,AJbqUacnP-g_e2,The drafting of the regulations will be a stupendous and heavy task.
402,402,402,AJbqUacnP-g_e3,Kotto gives a stupendous performance.
403,403,403,AJbqUacnP-g_e4,The lakeshore view was stupendous.
404,404,404,AJbqUacnP-g_w,stupendous
405,405,405,AjXeuvRxnL0_d,the money necessary for a particular purpose
406,406,406,AjXeuvRxnL0_e1,"I'd like to buy a bigger house, but I don't have the wherewithal."
407,407,407,AjXeuvRxnL0_w,the wherewithal
408,408,408,A_ND2Q9fO2s_d,the group of people who represent their country in a foreign country
409,409,409,A_ND2Q9fO2s_e1,We used to be friendly with some people who worked at the Swedish Embassy.
410,410,410,A_ND2Q9fO2s_w,embassy
411,411,411,AnhTIMU_EzI_d,the unit of money used in most European Union countries
412,412,412,AnhTIMU_EzI_e1,You can usually find a hotel for €70 a night.
413,413,413,AnhTIMU_EzI_w,euro
414,414,414,AVDuEdEExK8_d,"to ask someone to do or not do something in a very sincere, emotional, and determined way"
415,415,415,AVDuEdEExK8_e1,She implored her parents to send her to school.
416,416,416,AVDuEdEExK8_w,implore
417,417,417,B2xV05A7TbI_d,to put two or more numbers or amounts together to get a total to put two or more numbers or amounts together to get a total
